rod_id	position	measurement_index	point_index	value
Rod2	endN1	30	5	0.01055
Rod2	endN1	30	6	0.01219
Rod2	endN1	30	7	0.01384
Rod2	endN1	30	8	0.01548
Rod2	endN1	30	9	0.01696
Rod2	endN1	30	10	0.0186
Rod2	endN1	30	11	0.02025
Rod2	endN1	30	12	0.02189
Rod2	endN1	30	13	0.0237
Rod2	endN1	30	14	0.02518
Rod2	endN1	30	15	0.02682
Rod2	endN1	31	0	0.00068
Rod2	endN1	31	1	0.00233
Rod2	endN1	31	2	0.00397
Rod2	endN1	31	3	0.00578
Rod2	endN1	31	4	0.00742
Rod2	endN1	31	5	0.01055
Rod2	endN1	31	6	0.01219
Rod2	endN1	31	7	0.01384
Rod2	endN1	31	8	0.01548
Rod2	endN1	31	9	0.01696
Rod2	endN1	31	10	0.01827
Rod2	endN1	31	11	0.02025
Rod2	endN1	31	12	0.02189
Rod2	endN1	31	13	0.0237
Rod2	endN1	31	14	0.02501
Rod2	endN1	31	15	0.02682
Rod2	endN1	32	0	0.00052
Rod2	endN1	32	1	0.00249
Rod2	endN1	32	2	0.00447
Rod2	endN1	32	3	0.00562
Rod2	endN1	32	4	0.00726
Rod2	endN1	32	5	0.01088
Rod2	endN1	32	6	0.01219
Rod2	endN1	32	7	0.01367
Rod2	endN1	32	8	0.01531
Rod2	endN1	32	9	0.01663
Rod2	endN1	32	10	0.01877
Rod2	endN1	32	11	0.02041
Rod2	endN1	32	12	0.02205
Rod2	endN1	32	13	0.0232
Rod2	endN1	32	14	0.02534
Rod2	endN1	32	15	0.02666
Rod2	endN1	33	0	0.00052
Rod2	endN1	33	1	0.00233
Rod2	endN1	33	2	0.00414
Rod2	endN1	33	3	0.00578
Rod2	endN1	33	4	0.00759
Rod2	endN1	33	5	0.01022
Rod2	endN1	33	6	0.01219
Rod2	endN1	33	7	0.01367
Rod2	endN1	33	8	0.01531
Rod2	endN1	33	9	0.01679
Rod2	endN1	33	10	0.0186
Rod2	endN1	33	11	0.02041
Rod2	endN1	33	12	0.02205
Rod2	endN1	33	13	0.02353
Rod2	endN1	33	14	0.02534
Rod2	endN1	33	15	0.02649
Rod2	endN1	34	0	0.00068
Rod2	endN1	34	1	0.002
Rod2	endN1	34	2	0.0043
Rod2	endN1	34	3	0.00578
Rod2	endN1	34	4	0.00742
Rod2	endN1	34	5	0.01055
