rod_id,position,angle,measurement_index,point_index,value
Rod3,endN3,0,19,18,0.00496
Rod3,endN3,0,19,19,0.00529
Rod3,endN3,0,19,20,0.00693
Rod3,endN3,0,19,21,0.00907
Rod3,endN3,0,19,22,0.01055
Rod3,endN3,0,19,23,0.01268
Rod3,endN3,0,19,24,0.01416
Rod3,endN3,0,19,25,0.01581
Rod3,endN3,0,19,26,0.01778
Rod3,endN3,0,19,27,0.01959
Rod3,endN3,0,19,28,0.02123
Rod3,endN3,0,19,29,0.02304
Rod3,endN3,0,19,30,0.02485
Rod3,endN3,0,19,31,0.02666
Rod3,endN3,0,20,0,-0.00112
Rod3,endN3,0,20,1,-0.00112
Rod3,endN3,0,20,2,-0.00047
Rod3,endN3,0,20,3,-0.00063
Rod3,endN3,0,20,4,-0.00014
Rod3,endN3,0,20,5,0.00052
Rod3,endN3,0,20,6,0.00052
Rod3,endN3,0,20,7,0.00068
Rod3,endN3,0,20,8,0.00134
Rod3,endN3,0,20,9,0.00151
Rod3,endN3,0,20,10,0.00167
Rod3,endN3,0,20,11,0.00249
Rod3,endN3,0,20,12,0.00266
Rod3,endN3,0,20,13,0.00299
Rod3,endN3,0,20,14,0.00331
Rod3,endN3,0,20,15,0.00364
Rod3,endN3,0,20,16,0.00414
Rod3,endN3,0,20,17,0.00479
Rod3,endN3,0,20,18,0.00496
Rod3,endN3,0,20,19,0.00545
Rod3,endN3,0,20,20,0.00726
Rod3,endN3,0,20,21,0.0089
Rod3,endN3,0,20,22,0.01055
Rod3,endN3,0,20,23,0.01268
Rod3,endN3,0,20,24,0.01433
Rod3,endN3,0,20,25,0.01564
Rod3,endN3,0,20,26,0.01778
Rod3,endN3,0,20,27,0.01959
Rod3,endN3,0,20,28,0.02123
Rod3,endN3,0,20,29,0.02304
Rod3,endN3,0,20,30,0.02468
Rod3,endN3,0,20,31,0.02649
Rod3,endN3,0,21,0,-0.00112
Rod3,endN3,0,21,1,-0.00112
Rod3,endN3,0,21,2,-0.00096
Rod3,endN3,0,21,3,-0.0003
Rod3,endN3,0,21,4,3e-05
Rod3,endN3,0,21,5,3e-05
Rod3,endN3,0,21,6,0.00068
Rod3,endN3,0,21,7,0.00085
Rod3,endN3,0,21,8,0.00134
Rod3,endN3,0,21,9,0.00184
Rod3,endN3,0,21,10,0.002
Rod3,endN3,0,21,11,0.00216
Rod3,endN3,0,21,12,0.00266
Rod3,endN3,0,21,13,0.00315
Rod3,endN3,0,21,14,0.00315
Rod3,endN3,0,21,15,0.00364
Rod3,endN3,0,21,16,0.0043
